fecha_asignacion,correlativo_aspirante,sexo,anio_nacimiento,materia,numero_de_fecha_de_evaluaci,anio_de_ingreso,aprobacion,carrera_objetivo,departamento_institucion_ed,municipio_institucion_,tipo_institucion_educativa
2022-09-27,18f73398caba64ef3391,M,1996,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,AMATITLAN,PRIVADO
2022-09-27,18f73398caba64ef3391,M,1996,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,AMATITLAN,PRIVADO
2022-09-27,4fac55e54682ad6c0299,F,2000,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,4fac55e54682ad6c0299,F,2000,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,0e2a03319197dcf604cd,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,0e2a03319197dcf604cd,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,2028013b22bc8d83ce77,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,QUICHE,NEBAJ,PRIVADO
2022-09-27,2028013b22bc8d83ce77,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,QUICHE,NEBAJ,PRIVADO
2022-09-27,23a004aa8d810911cd53,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,23a004aa8d810911cd53,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,b82d6ed57e79547f1d05,F,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,b82d6ed57e79547f1d05,F,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,e7ce354da0d471c290c0,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,f37151ea0f67638edf1ff8,F,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,f37151ea0f67638edf1ff8,F,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,63358b4a64171d362122,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,SUCHITEPEQUEZ,MAZATENANGO,PUBLICO
2022-09-27,63358b4a64171d362122,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,SUCHITEPEQUEZ,MAZATENANGO,PUBLICO
2022-09-27,34c6c07cb81d9909a8f7,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,34c6c07cb81d9909a8f7,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,3f7f223f1bb746258fad4,M,1996,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,3f7f223f1bb746258fad4,M,1996,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,5e6a4a0efb881a32cdd3,F,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA QUIMICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5e6a4a0efb881a32cdd3,F,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA QUIMICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,8ae883857815a241d1f7,M,SIN REGISTRO,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,8ae883857815a241d1f7,M,SIN REGISTRO,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,4acb1dae98e7dc33818a,M,1975,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA,QUEZALTENANGO,QUETZALTENANGO,PRIVADO
2022-09-27,dc342db27c906037d963,M,1997,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,dc342db27c906037d963,M,1997,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,d1de1282bcc3e46137ed,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,5bfba8631936146a0ce0,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,PETAPA,POR COOPERATIVA
2022-09-27,5bfba8631936146a0ce0,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,PETAPA,POR COOPERATIVA
2022-09-27,6e0300e1e881489415d6,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,6e0300e1e881489415d6,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,9895766359fbb3eb095d,M,1998,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,VILLA CANALES,PRIVADO
2022-09-27,f3fcb84e87c8468a208f4,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,PETAPA,POR COOPERATIVA
2022-09-27,39b2d8fca5ae25e2d9ba,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,39b2d8fca5ae25e2d9ba,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,f3fcb84e87c8468a208f4,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,PETAPA,POR COOPERATIVA
2022-09-27,9498370ab3ce4cd0c9e3,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5cb3c3ee58bee8f97c14,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,5cb3c3ee58bee8f97c14,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,0d9fde9a5d97688752eb,M,2003,MATEMATICA,1,2023,APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,3e958eb4adb902fdfda9,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,3e958eb4adb902fdfda9,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,ce35aa6a497b8242bb34,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,ce35aa6a497b8242bb34,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,c65bb29ee712afbd6bc6,M,2003,MATEMATICA,1,2023,APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,c65bb29ee712afbd6bc6,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,65f439d188a5e8d69a9e,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,65f439d188a5e8d69a9e,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,62ac02762674ad5733a6,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,PETAPA,PRIVADO
2022-09-27,62ac02762674ad5733a6,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,GUATEMALA,PETAPA,PRIVADO
2022-09-27,50dc3ca358ad6e081596,F,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,50dc3ca358ad6e081596,F,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,a4033526c6a66a4c3274,M,2000,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,1a189b0eb2b412cab616,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,1a189b0eb2b412cab616,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,03179728af83ac8053c4,F,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,56a8d0572db9b6edf7f9,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,56a8d0572db9b6edf7f9,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRICA,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,54260b6a79de5eb4aad9,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,QUICHE,SANTA CRUZ DEL ,PRIVADO
2022-09-27,cc57621ce851916c48bf,F,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA AMBIENTAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,cc57621ce851916c48bf,F,2004,MATEMATICA,1,2023,APROBADO,INGENIERIA AMBIENTAL,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
